"departamento","codigo_departamento","municipio","codigo_municipio","poblacion","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-27","2020-06-28","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-03","2020-07-04","2020-07-05","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-11","2020-07-12","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-18","2020-07-19","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-25","2020-07-26","2020-07-27","2020-07-28","2020-07-29","2020-07-30","2020-07-31","2020-08-01","2020-08-02","2020-08-03","2020-08-04","2020-08-05","2020-08-06","2020-08-07","2020-08-08","2020-08-09","2020-08-10","2020-08-11","2020-08-12","2020-08-13","2020-08-14","2020-08-15","2020-08-16","2020-08-17","2020-08-18","2020-08-19","2020-08-20","2020-08-21","2020-08-22","2020-08-23","2020-08-24","2020-08-25","2020-08-26","2020-08-27","2020-08-28","2020-08-29","2020-08-30","2020-08-31","2020-09-01","2020-09-02","2020-09-03","2020-09-04","2020-09-05","2020-09-06","2020-09-07","2020-09-08","2020-09-09","2020-09-10","2020-09-11","2020-09-12","2020-09-13","2020-09-14","2020-09-15","2020-09-16","2020-09-17","2020-09-18","2020-09-19","2020-09-20","2020-09-21","2020-09-22","2020-09-23","2020-09-24","2020-09-25","2020-09-26","2020-09-27","2020-09-28","2020-09-29","2020-09-30","2020-10-01","2020-10-02","2020-10-03","2020-10-04","2020-10-05","2020-10-06","2020-10-07","2020-10-08","2020-10-09","2020-10-10","2020-10-11","2020-10-12","2020-10-13","2020-10-14","2020-10-15","2020-10-16","2020-10-17","2020-10-18","2020-10-19","2020-10-20","2020-10-21","2020-10-22","2020-10-23","2020-10-24","2020-10-25","2020-10-26","2020-10-27","2020-10-28","2020-10-29","2020-10-30","2020-10-31","2020-11-01","2020-11-02","2020-11-03","2020-11-04","2020-11-05","2020-11-06","2020-11-07","2020-11-08","2020-11-09","2020-11-10","2020-11-11","2020-11-12","2020-11-13","2020-11-14","2020-11-15","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-21","2020-11-22","2020-11-23","2020-11-24","2020-11-25","2020-11-26","2020-11-27","2020-11-28","2020-11-29","2020-11-30","2020-12-01","2020-12-02","2020-12-03","2020-12-04","2020-12-05","2020-12-06","2020-12-07","2020-12-08","2020-12-09","2020-12-10","2020-12-11","2020-12-12","2020-12-13","2020-12-14","2020-12-15","2020-12-16","2020-12-17"
"GUATEMALA","01","SIN DATOS","99","SIN DATO",2,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,1,2,2,1,1,1,3,6,8,15,11,9,12,8,6,8,11,10,12,17,30,26,16,30,72,9,8,21,24,21,30,23,17,12,10,23,88,9,82,55,41,11,61,62,57,49,28,17,29,57,35,159,138,37,1,8,1,0,0,2,1,2,2,1,1,1,0,1,2,1,1,0,0,2,2,0,1,1,10,0,3,1,2,2,2,6,10,5,9,0,4,1,0,0,2,0,5,3,3,0,1,0,0,0,1,0,0,1,1,3,2,2,2,3,1,3,3,0,1,3,1,3,4,2,0,4,5,3,4,2,3,2,3,1,4,3,6,2,2,9,2,0,1,2,1,0,2,1,4,2,1,4,0,0,0,0,0,1,1,1,2,2,0,0,3,0,1,1,4,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUEHUETENANGO","13","SANTA ANA HUISTA","1331","10225",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GUATEMALA","01","GUATEMALA","0101","1205668",0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,3,3,0,2,5,2,4,9,1,8,8,4,2,3,7,3,1,1,2,1,1,5,4,7,6,4,8,9,12,5,3,7,22,6,7,9,3,18,6,38,17,7,14,23,8,31,23,21,36,50,57,32,40,66,28,22,72,86,61,65,76,62,78,81,99,107,100,94,89,69,159,163,185,192,248,80,62,168,200,144,179,134,123,55,196,156,139,162,204,258,202,179,189,292,205,261,249,221,557,368,438,466,431,582,269,582,501,549,608,691,599,313,408,644,749,598,569,450,314,512,475,431,546,635,509,242,499,419,538,536,472,432,263,610,498,412,431,358,365,187,462,397,349,407,380,414,241,405,338,276,256,257,218,158,359,423,236,248,246,219,166,243,221,199,250,193,190,161,314,209,236,193,221,165,188,263,236,218,155,211,175,167,229,193,195,215,197,173,141,222,199,218,224,256,204,231,315,195,202,192,187,184,166,260,190,176,286,240,219,181,267,250,243,202,196,217,167,232,200,206,230,217,181,167,253,227,228,189,220,181,184,237,204,169,173,207,182,220,229,217,211,192,196,207,213,270,311,212,205,202,220,243,250,257,199,196,236,192,160,259,212,202,236,243,254,189,310,307,245,196,220,240,178,226,232,169,159,199,127,114,156,56,59,25
"SACATEPEQUEZ","03","ANTIGUA GUATEMALA","0301","58338",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,2,2,0,0,3,1,3,1,1,0,2,7,1,0,2,1,2,6,2,5,11,3,10,1,5,5,8,2,6,3,2,1,10,6,6,24,12,10,23,13,15,10,45,46,23,26,26,23,24,40,36,34,25,48,34,41,36,32,32,44,47,38,34,32,54,28,28,26,40,26,34,30,34,19,41,28,34,18,31,22,18,25,28,7,24,21,20,21,25,18,19,21,34,32,21,32,19,18,28,12,3,10,22,15,14,17,24,17,16,38,14,19,34,23,17,21,17,33,26,29,25,23,13,29,48,38,48,13,12,14,25,30,22,16,12,11,38,31,31,40,28,39,43,27,29,19,14,9,19,17,22,22,35,37,41,23,20,39,37,25,29,13,28,32,27,28,38,35,22,22,15,34,33,18,24,23,17,16,54,64,14,22,22,13,13,8,14,18,13,13,11,21,15,26,46,49,34,21,20,26,33,23,28,29,27,17,19,26,24,35,27,31,40,27,55,35,25,26,43,25,22,41,35,46,37,30,16,12,20,26,25,1
"GUATEMALA","01","MIXCO","0108","494561",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,2,2,2,1,5,1,1,0,1,0,0,0,1,1,1,0,0,3,3,4,1,1,1,0,3,3,5,1,3,5,4,1,10,3,4,4,9,3,6,7,4,19,17,13,8,9,20,11,13,23,9,22,22,24,80,20,23,23,31,33,44,40,30,45,61,72,78,94,38,21,77,82,55,59,56,78,26,45,77,52,78,89,84,54,104,98,142,155,133,65,66,182,92,132,103,129,160,67,136,218,176,207,234,165,85,102,179,236,198,192,133,90,162,134,140,158,207,174,78,167,177,198,180,196,143,66,146,170,109,97,114,97,69,159,125,104,114,109,136,81,128,100,100,71,80,75,53,118,62,60,81,86,80,44,83,79,65,77,70,60,58,75,74,87,69,44,36,73,92,82,57,53,61,49,58,68,67,47,67,63,41,42,75,63,75,58,66,66,76,105,83,79,55,85,48,58,59,70,73,122,82,90,73,108,75,70,77,71,65,47,103,71,66,83,68,56,79,76,85,64,79,80,67,77,108,73,64,68,74,65,77,82,80,93,76,91,88,99,83,140,60,71,102,89,96,126,107,107,85,116,87,60,107,88,96,87,133,124,82,113,202,108,85,70,101,78,126,89,78,108,70,63,38,45,24,18,7
"SIN DATO","99","SIN DATO","99","SIN DATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAN MARCOS","12","SAN MARCOS","1201","48644",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,4,1,0,0,1,0,0,0,0,1,1,0,0,2,0,1,0,2,3,3,3,1,2,2,14,0,30,25,10,0,4,4,2,0,9,51,21,3,0,2,0,2,3,7,9,0,1,0,4,3,1,3,0,1,1,4,11,6,4,4,3,0,3,10,5,10,10,5,1,4,2,4,5,12,3,16,5,1,5,4,5,7,3,10,4,5,5,4,4,5,6,6,2,13,10,7,10,8,4,8,3,9,3,9,10,8,3,7,7,10,14,6,8,11,9,6,2,8,8,7,13,6,4,6,6,6,10,3,5,8,9,7,6,12,7,11,5,16,11,13,15,12,6,15,20,29,8,13,16,11,19,22,15,9,12,16,17,5,12,23,14,8,17,13,14,19,25,18,19,19,13,8,11,11,14,16,8,8,5,3,6,9,5,8,4,8,5,13,8,6,4,5,6,10,19,7,17,7,4,5,4,8,3,4,4,8,9,6,3,5,5,8,7,5,8,3,11,5,5,2,7,4,1,4,1,1,3,1,2,1,1,0,1,0
"SANTA ROSA","06","SIN DATOS","99","SIN DATO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2,0,2,3,0,1,2,1,1,0,0,0,0,0,0,1,2,0,1,1,0,0,3,2,0,4,1,2,3,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QUETZALTENANGO","09","SIN DATOS","99","SIN DATO",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,2,0,0,0,0,11,1,0,1,6,2,1,1,3,1,0,0,0,0,2,6,2,1,4,1,0,1,17,10,1,2,10,0,2,13,3,1,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,2,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QUICHE","14","SIN DATOS","99","SIN DATO",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,5,0,0,0,4,6,0,0,2,2,4,11,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
